symbol,factor_missing,factor_basis,raw_daily_obs,as1455_dates,matched_factor_dates,missing_factor_dates,factor_obs,factor_min,factor_max,factor_jump_dates
002192,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1559,1559,0,1593,0.9718912981585707,1.0,3
002195,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9771854656435565,1.0,4
002202,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9166157343250291,1.0,6
002203,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9296611977992668,1.0,7
002208,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9463098529057211,1.0,5
002222,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8637182355772224,1.0,9
002223,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8804094577050257,1.0,10
002230,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9851985808135441,1.0,6
002236,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8552587599580193,1.0,10
002237,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9562212443714654,1.0,6
002240,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9656927821948802,1.0,3
002241,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9497601700951747,1.0,10
002244,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8611023819724749,1.0,6
002245,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1557,1557,0,1593,0.6614215468401091,1.0,7
002249,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8379814966548429,1.0,11
002252,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.9703773893317132,1.0,8
002254,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1549,1549,0,1593,0.8819465314699902,1.0,6
002261,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
002262,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9184660977001704,1.0,7
002265,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,1.0,1.0,0
002266,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1560,1560,0,1593,0.9147965702628622,1.0,7
002270,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1551,1551,0,1593,0.7927067061065103,1.0,15
002271,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5151688494912072,1.0,9
002273,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8973287025234079,1.0,9
002281,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9619098853690514,1.0,6
002290,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1559,1559,0,1593,1.0,1.0,0
002294,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9013381435102397,1.0,6
002297,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,1.0,1.0,0
002299,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8165845967611101,1.0,9
002304,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8134056081993396,1.0,7
002311,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9453601586597393,1.0,7
002312,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1546,1546,0,1593,0.9411841949562196,1.0,4
002317,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9025141451576065,1.0,7
