date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20
2026-04-09,40.4,40.88,39.46,39.66,826900.0,33125760.0,,,,-0.018316831683168333,0.020061728395061484,-0.13894919669995665,-0.08043311924691066,-1.1392139312031786,-0.6671764942644396,-0.888171298472008,-0.9370858155866487,-0.7902720762639617,-1.1919525528607078,-0.6728496645025597,-0.8855992516480539,-0.9459342105256501,-0.8077897703816496,-1.1435258252052138
2026-04-10,40.1,40.58,39.12,40.1,1481500.0,59025354.0,,,,0.011094301563288056,0.060285563194077296,-0.10928476232785433,-0.06328108575299574,-0.8861293461637543,0.7916313943644939,-0.5200220307134064,-0.23030964256026598,-0.5546915231856855,-1.1695367745937928,0.7818565974033502,-0.4985572595539136,-0.32774216341695595,-0.5882801526529179,-1.2235027695054708
2026-04-13,40.0,41.4,39.46,40.88,2672200.0,108777929.0,,,,0.01945137157107224,0.06071613907628448,-0.10664335664335656,-0.039541385710593735,-0.548607003379273,0.8037124535943301,-0.15254344792591656,0.06678909337698102,-0.1914044128554958,-0.3949527908417367,0.84290176387591,-0.10498850137632643,-0.041909776340421256,-0.23354852553970462,-0.47058609292066467
2026-04-14,41.0,43.14,40.52,42.5,2924700.0,123352611.0,,,,0.03962818003913893,0.05721393034825861,-0.08954584404455868,0.00427703868238849,0.060468925138428734,0.09449143028216445,-0.037325960304137484,-0.25500534922818274,-0.1172335275291797,-0.24311940323296377,0.1339856543876654,0.016033735526737036,-0.3247034339277821,-0.1293955891564621,-0.2598854372154646
2026-04-15,42.5,43.4,41.46,43.0,2662739.0,113218074.0,,,,0.0117647058823529,0.06435643564356441,-0.06113537117903922,0.021135122298741482,0.316358331052085,-0.08956850275241901,0.07174039042060776,-0.2924833266905805,-0.18397291983295705,-0.3768283015342465,-0.08215907971335934,0.1181428258090993,-0.34273697166208283,-0.1838408862306582,-0.3644472932905352
2026-04-16,43.28,43.48,42.0,43.04,1644300.0,70329253.0,,,,0.0009302325581395099,0.0852244074634394,-0.0740103270223752,0.025494400762449354,0.3982435400088727,-0.3824779672359927,0.9885113072922966,-0.659438299987573,-0.48743992467365016,-0.9810719628647654,-0.37881602720074536,1.1230985492861145,-0.6896652666125132,-0.48199195584107535,-0.938447738542273
2026-04-17,42.64,42.9,40.8,41.72,3119510.0,129735328.0,,,,-0.0306691449814126,0.04039900249376549,-0.11983122362869203,-0.0018661179960762775,-0.03138262726606366,0.8971659672809098,1.1056429294633818,-0.4336607240114738,0.0231862879897895,0.044670174608993085,0.8446851411886886,1.1979593379482316,-0.5090108923312675,0.013922259637089152,0.026296509179048265
2026-04-20,42.0,42.5,40.42,40.44,3309420.0,135538327.0,,,,-0.030680728667305868,-0.010763209393346518,-0.11393514460999132,-0.025870790576672853,-0.5096299459117023,0.060878150735211634,0.23846268991841924,-0.29275318957963803,0.1297321242921763,0.25791189123819025,0.044729520397096545,0.24600944553743065,-0.3681017411459536,0.11803498792792522,0.2396816725216751
2026-04-21,40.82,43.0,40.4,42.64,3681100.0,155294555.0,,,,0.054401582591493636,0.0032941176470588918,-0.04778919160339434,0.033596742134095914,0.7371984753543812,0.11230970985852506,0.25862481622046696,0.5185429643991584,0.2866971814057768,0.5781398393146718,0.14576119122379305,0.2589482601223576,0.42978927794638166,0.32412059320530395,0.6826515171237488
2026-04-22,42.5,42.8,40.02,40.02,5399160.0,220488747.0,,,,-0.06144465290806744,-0.06930232558139526,-0.10469798657718121,-0.027389603130240414,-0.6540130405149961,0.4667246203580451,1.0276715066703872,2.99730510105871,0.8466617097747415,1.7357247658760298,0.4198099025429449,0.9474695091527525,2.640875846237223,0.8433151922786242,1.7924293776501976
