code,name,board,industry,marketcap,sector
300037,新宙邦,chinext,C39计算机、通信和其他电子设备制造业,41848523624.49447,4
603308,应流股份,sh_mainboard,C34通用设备制造业,41815784737.11511,22
300115,长盈精密,chinext,C39计算机、通信和其他电子设备制造业,41750826081.91925,4
603920,世运电路,sh_mainboard,C39计算机、通信和其他电子设备制造业,41563640804.4763,4
603688,石英股份,sh_mainboard,C30非金属矿物制品业,41454681736.54972,19
002129,TCL中环,sz_mainboard,C38电气机械和器材制造业,41448216668.38122,1
002056,横店东磁,sz_mainboard,C38电气机械和器材制造业,41356795570.97247,1
300751,迈为股份,chinext,C35专用设备制造业,41173163548.0659,9
000999,华润三九,sz_mainboard,C27医药制造业,40821007708.90781,12
300346,南大光电,chinext,C39计算机、通信和其他电子设备制造业,40428595011.56928,4
002155,湖南黄金,sz_mainboard,B09有色金属矿采选业,40078331215.56859,8
000983,山西焦煤,sz_mainboard,B06煤炭开采和洗选业,40023385076.92307,6
002850,科达利,sz_mainboard,C33金属制品业,40012079633.732765,27
600909,华安证券,sh_mainboard,J67资本市场服务,39992582800.45783,10
002195,岩山科技,sz_mainboard,I64互联网和相关服务,39788410019.79485,37
000893,亚钾国际,sz_mainboard,C26化学原料和化学制品制造业,39412489096.73337,15
601555,东吴证券,sh_mainboard,J67资本市场服务,39401134656.172325,10
