date,sample_count
2020-12-29,987
2020-12-30,987
2020-12-31,986
2021-01-04,987
2021-01-05,987
2021-01-06,987
2021-01-07,987
2021-01-08,987
2021-01-11,987
2021-01-12,987
2021-01-13,987
2021-01-14,986
2021-01-15,984
2021-01-18,983
2021-01-19,984
2021-01-20,984
2021-01-21,984
2021-01-22,985
2021-01-25,984
2021-01-26,984
2021-01-27,984
2021-01-28,985
2021-01-29,987
2021-02-01,987
2021-02-02,987
2021-02-03,987
2021-02-04,987
2021-02-05,986
2021-02-08,984
2021-02-09,985
2021-02-10,987
2021-02-18,983
2021-02-19,986
2021-02-22,986
2021-02-23,986
2021-02-24,986
2021-02-25,986
2021-02-26,985
2021-03-01,986
2021-03-02,987
2021-03-03,986
2021-03-04,987
2021-03-05,987
2021-03-08,987
2021-03-09,987
2021-03-10,987
2021-03-11,987
2021-03-12,987
2021-03-15,987
2021-03-16,986
2021-03-17,986
2021-03-18,986
2021-03-19,985
2021-03-22,987
2021-03-23,986
2021-03-24,986
2021-03-25,987
2021-03-26,987
2021-03-29,987
2021-03-30,987
2021-03-31,984
2021-04-01,987
2021-04-02,987
2021-04-06,987
2021-04-07,986
2021-04-08,986
2021-04-09,986
2021-04-12,986
2021-04-13,984
2021-04-14,985
2021-04-15,984
2021-04-16,984
2021-04-19,984
2021-04-20,985
2021-04-21,987
2021-04-22,987
2021-04-23,986
2021-04-26,986
2021-04-27,984
2021-04-28,985
2021-04-29,983
2021-04-30,984
2021-05-06,985
2021-05-07,984
2021-05-10,985
2021-05-11,984
2021-05-12,983
2021-05-13,986
2021-05-14,986
2021-05-17,985
2021-05-18,985
2021-05-19,985
2021-05-20,987
2021-05-21,986
2021-05-24,986
2021-05-25,986
2021-05-26,986
2021-05-27,986
2021-05-28,986
2021-05-31,986
2021-06-01,986
2021-06-02,985
2021-06-03,986
2021-06-04,986
2021-06-07,986
2021-06-08,986
2021-06-09,986
2021-06-10,985
2021-06-11,986
2021-06-15,986
2021-06-16,985
2021-06-17,985
2021-06-18,984
2021-06-21,983
2021-06-22,983
2021-06-23,983
2021-06-24,984
2021-06-25,985
2021-06-28,986
2021-06-29,986
2021-06-30,985
2021-07-01,986
2021-07-02,986
2021-07-05,987
2021-07-06,987
2021-07-07,987
2021-07-08,987
2021-07-09,987
2021-07-12,987
2021-07-13,987
2021-07-14,987
2021-07-15,987
2021-07-16,987
2021-07-19,985
2021-07-20,984
2021-07-21,984
2021-07-22,984
2021-07-23,984
2021-07-26,984
2021-07-27,984
2021-07-28,984
2021-07-29,984
2021-07-30,984
2021-08-02,985
2021-08-03,986
2021-08-04,986
2021-08-05,986
2021-08-06,986
2021-08-09,986
2021-08-10,986
2021-08-11,986
2021-08-12,986
2021-08-13,986
2021-08-16,986
2021-08-17,986
2021-08-18,985
2021-08-19,985
2021-08-20,987
2021-08-23,987
2021-08-24,987
2021-08-25,985
2021-08-26,987
2021-08-27,987
2021-08-30,986
2021-08-31,986
2021-09-01,986
2021-09-02,986
2021-09-03,986
2021-09-06,986
2021-09-07,986
2021-09-08,986
2021-09-09,986
2021-09-10,986
2021-09-13,987
2021-09-14,987
2021-09-15,986
2021-09-16,985
2021-09-17,985
2021-09-22,984
2021-09-23,984
2021-09-24,982
2021-09-27,982
2021-09-28,982
2021-09-29,983
2021-09-30,981
2021-10-08,982
2021-10-11,984
2021-10-12,985
2021-10-13,985
2021-10-14,985
2021-10-15,985
2021-10-18,986
2021-10-19,986
2021-10-20,986
2021-10-21,986
2021-10-22,985
2021-10-25,984
2021-10-26,984
2021-10-27,986
2021-10-28,987
2021-10-29,987
2021-11-01,987
2021-11-02,987
2021-11-03,987
2021-11-04,987
2021-11-05,987
2021-11-08,987
2021-11-09,986
2021-11-10,986
2021-11-11,986
2021-11-12,986
2021-11-15,986
2021-11-16,986
2021-11-17,985
2021-11-18,985
2021-11-19,986
2021-11-22,985
2021-11-23,986
2021-11-24,985
2021-11-25,985
2021-11-26,985
2021-11-29,984
2021-11-30,984
2021-12-01,984
2021-12-02,985
2021-12-03,984
2021-12-06,986
2021-12-07,986
2021-12-08,986
2021-12-09,986
2021-12-10,986
2021-12-13,987
2021-12-14,986
2021-12-15,986
2021-12-16,986
2021-12-17,986
2021-12-20,985
2021-12-21,984
2021-12-22,984
2021-12-23,986
2021-12-24,986
2021-12-27,986
2021-12-28,986
2021-12-29,986
2021-12-30,985
2021-12-31,986
2022-01-04,987
2022-01-05,986
2022-01-06,986
2022-01-07,986
2022-01-10,985
2022-01-11,985
2022-01-12,985
2022-01-13,985
2022-01-14,985
2022-01-17,985
2022-01-18,985
2022-01-19,984
2022-01-20,983
2022-01-21,983
2022-01-24,984
2022-01-25,984
2022-01-26,983
2022-01-27,985
2022-01-28,986
2022-02-07,986
2022-02-08,985
2022-02-09,985
2022-02-10,986
2022-02-11,986
2022-02-14,986
2022-02-15,986
2022-02-16,985
2022-02-17,985
2022-02-18,985
2022-02-21,984
2022-02-22,984
2022-02-23,984
2022-02-24,985
2022-02-25,986
2022-02-28,986
2022-03-01,987
2022-03-02,986
2022-03-03,987
2022-03-04,987
2022-03-07,986
2022-03-08,986
2022-03-09,986
2022-03-10,986
2022-03-11,986
2022-03-14,987
2022-03-15,987
2022-03-16,987
2022-03-17,987
2022-03-18,987
2022-03-21,987
2022-03-22,987
2022-03-23,987
2022-03-24,987
2022-03-25,987
2022-03-28,987
2022-03-29,987
2022-03-30,987
2022-03-31,985
2022-04-01,985
2022-04-06,985
2022-04-07,985
2022-04-08,984
2022-04-11,985
2022-04-12,986
2022-04-13,986
2022-04-14,986
2022-04-15,985
2022-04-18,985
2022-04-19,985
2022-04-20,985
2022-04-21,984
2022-04-22,985
2022-04-25,984
2022-04-26,982
2022-04-27,982
2022-04-28,981
2022-04-29,982
2022-05-05,982
2022-05-06,985
2022-05-09,986
2022-05-10,986
2022-05-11,986
2022-05-12,986
2022-05-13,987
2022-05-16,986
2022-05-17,986
2022-05-18,984
2022-05-19,984
2022-05-20,986
2022-05-23,986
2022-05-24,986
2022-05-25,985
2022-05-26,985
2022-05-27,984
2022-05-30,986
2022-05-31,986
2022-06-01,985
2022-06-02,985
2022-06-06,985
2022-06-07,985
2022-06-08,985
2022-06-09,984
2022-06-10,985
2022-06-13,985
2022-06-14,985
2022-06-15,985
2022-06-16,985
2022-06-17,985
2022-06-20,985
2022-06-21,985
2022-06-22,983
2022-06-23,985
2022-06-24,985
2022-06-27,986
2022-06-28,986
2022-06-29,984
2022-06-30,986
2022-07-01,986
2022-07-04,986
2022-07-05,986
2022-07-06,986
2022-07-07,986
2022-07-08,986
2022-07-11,986
2022-07-12,986
2022-07-13,985
2022-07-14,987
2022-07-15,987
2022-07-18,987
2022-07-19,987
2022-07-20,987
2022-07-21,987
2022-07-22,987
2022-07-25,987
2022-07-26,987
2022-07-27,987
2022-07-28,987
2022-07-29,987
2022-08-01,986
2022-08-02,986
2022-08-03,986
2022-08-04,986
2022-08-05,986
2022-08-08,986
2022-08-09,986
2022-08-10,985
2022-08-11,985
2022-08-12,986
2022-08-15,985
2022-08-16,985
2022-08-17,985
2022-08-18,985
2022-08-19,985
2022-08-22,985
2022-08-23,985
2022-08-24,985
2022-08-25,986
2022-08-26,986
2022-08-29,987
2022-08-30,987
2022-08-31,987
2022-09-01,986
2022-09-02,986
2022-09-05,986
2022-09-06,986
2022-09-07,986
2022-09-08,986
2022-09-09,986
2022-09-13,986
2022-09-14,986
2022-09-15,985
2022-09-16,985
2022-09-19,985
2022-09-20,985
2022-09-21,985
2022-09-22,985
2022-09-23,985
2022-09-26,985
2022-09-27,985
2022-09-28,985
2022-09-29,984
2022-09-30,984
2022-10-10,985
2022-10-11,985
2022-10-12,985
2022-10-13,984
2022-10-14,985
2022-10-17,984
2022-10-18,984
2022-10-19,984
2022-10-20,984
2022-10-21,985
2022-10-24,985
2022-10-25,985
2022-10-26,984
2022-10-27,984
2022-10-28,985
2022-10-31,984
2022-11-01,985
2022-11-02,986
2022-11-03,986
2022-11-04,986
2022-11-07,987
2022-11-08,986
2022-11-09,987
2022-11-10,987
2022-11-11,987
2022-11-14,987
2022-11-15,987
2022-11-16,987
2022-11-17,986
2022-11-18,986
2022-11-21,986
2022-11-22,986
2022-11-23,986
2022-11-24,986
2022-11-25,986
2022-11-28,987
2022-11-29,987
2022-11-30,987
2022-12-01,986
2022-12-02,985
2022-12-05,983
2022-12-06,983
2022-12-07,983
2022-12-08,984
2022-12-09,984
2022-12-12,984
2022-12-13,984
2022-12-14,983
2022-12-15,983
2022-12-16,984
2022-12-19,984
2022-12-20,985
2022-12-21,984
2022-12-22,985
2022-12-23,986
2022-12-26,985
2022-12-27,986
2022-12-28,985
2022-12-29,986
2022-12-30,986
2023-01-03,986
2023-01-04,986
2023-01-05,986
2023-01-06,986
2023-01-09,986
2023-01-10,987
2023-01-11,987
2023-01-12,986
2023-01-13,987
2023-01-16,987
2023-01-17,987
2023-01-18,987
2023-01-19,987
2023-01-20,987
2023-01-30,987
2023-01-31,987
2023-02-01,986
2023-02-02,986
2023-02-03,986
2023-02-06,986
2023-02-07,986
2023-02-08,984
2023-02-09,984
2023-02-10,984
2023-02-13,984
2023-02-14,984
2023-02-15,985
2023-02-16,986
2023-02-17,987
2023-02-20,987
2023-02-21,987
2023-02-22,987
2023-02-23,987
2023-02-24,987
2023-02-27,987
2023-02-28,987
2023-03-01,987
2023-03-02,987
2023-03-03,987
2023-03-06,987
2023-03-07,987
2023-03-08,987
2023-03-09,987
2023-03-10,987
2023-03-13,987
2023-03-14,987
2023-03-15,987
2023-03-16,987
2023-03-17,987
2023-03-20,987
2023-03-21,987
2023-03-22,987
2023-03-23,987
2023-03-24,987
2023-03-27,987
2023-03-28,987
2023-03-29,987
2023-03-30,987
2023-03-31,986
2023-04-03,986
2023-04-04,986
2023-04-06,986
2023-04-07,986
2023-04-10,986
2023-04-11,986
2023-04-12,986
2023-04-13,986
2023-04-14,986
2023-04-17,985
2023-04-18,987
2023-04-19,986
2023-04-20,987
2023-04-21,986
2023-04-24,987
2023-04-25,987
2023-04-26,984
2023-04-27,986
2023-04-28,986
2023-05-04,983
2023-05-05,986
2023-05-08,986
2023-05-09,985
2023-05-10,986
2023-05-11,986
2023-05-12,986
2023-05-15,986
2023-05-16,986
2023-05-17,986
2023-05-18,987
2023-05-19,987
2023-05-22,987
2023-05-23,987
2023-05-24,987
2023-05-25,987
2023-05-26,987
2023-05-29,987
2023-05-30,987
2023-05-31,987
2023-06-01,987
2023-06-02,987
2023-06-05,987
2023-06-06,987
2023-06-07,987
2023-06-08,987
2023-06-09,987
2023-06-12,985
2023-06-13,985
2023-06-14,986
2023-06-15,986
2023-06-16,986
2023-06-19,986
2023-06-20,986
2023-06-21,986
2023-06-26,985
2023-06-27,985
2023-06-28,985
2023-06-29,985
2023-06-30,985
2023-07-03,986
2023-07-04,986
2023-07-05,986
2023-07-06,987
2023-07-07,987
2023-07-10,987
2023-07-11,987
2023-07-12,987
2023-07-13,987
2023-07-14,986
2023-07-17,987
2023-07-18,987
2023-07-19,987
2023-07-20,987
2023-07-21,987
2023-07-24,987
2023-07-25,987
2023-07-26,987
2023-07-27,987
2023-07-28,987
2023-07-31,987
2023-08-01,987
2023-08-02,987
2023-08-03,987
2023-08-04,987
2023-08-07,987
2023-08-08,987
2023-08-09,987
2023-08-10,987
2023-08-11,987
2023-08-14,986
2023-08-15,986
2023-08-16,986
2023-08-17,986
2023-08-18,986
2023-08-21,986
2023-08-22,986
2023-08-23,986
2023-08-24,986
2023-08-25,986
2023-08-28,987
2023-08-29,987
2023-08-30,987
2023-08-31,987
2023-09-01,987
2023-09-04,987
2023-09-05,987
2023-09-06,987
2023-09-07,987
2023-09-08,987
2023-09-11,986
2023-09-12,986
2023-09-13,986
2023-09-14,986
2023-09-15,986
2023-09-18,987
2023-09-19,987
2023-09-20,987
2023-09-21,987
2023-09-22,987
2023-09-25,987
2023-09-26,987
2023-09-27,987
2023-09-28,987
2023-10-09,987
2023-10-10,987
2023-10-11,987
2023-10-12,987
2023-10-13,987
2023-10-16,987
2023-10-17,987
2023-10-18,987
2023-10-19,987
2023-10-20,987
2023-10-23,987
2023-10-24,987
2023-10-25,987
2023-10-26,987
2023-10-27,987
2023-10-30,987
2023-10-31,987
2023-11-01,987
2023-11-02,987
2023-11-03,987
2023-11-06,985
2023-11-07,986
2023-11-08,986
2023-11-09,986
2023-11-10,987
2023-11-13,987
2023-11-14,987
2023-11-15,987
2023-11-16,986
2023-11-17,986
2023-11-20,986
2023-11-21,987
2023-11-22,987
2023-11-23,987
2023-11-24,987
2023-11-27,987
2023-11-28,987
2023-11-29,987
2023-11-30,987
2023-12-01,987
2023-12-04,987
2023-12-05,987
2023-12-06,986
2023-12-07,985
2023-12-08,986
2023-12-11,986
2023-12-12,986
2023-12-13,987
2023-12-14,987
2023-12-15,987
2023-12-18,987
2023-12-19,986
2023-12-20,986
2023-12-21,986
2023-12-22,986
2023-12-25,985
2023-12-26,986
2023-12-27,986
2023-12-28,985
2023-12-29,986
2024-01-02,986
2024-01-03,986
2024-01-04,986
2024-01-05,986
2024-01-08,986
2024-01-09,986
2024-01-10,987
2024-01-11,987
2024-01-12,986
2024-01-15,987
2024-01-16,987
2024-01-17,987
2024-01-18,987
2024-01-19,987
2024-01-22,987
2024-01-23,987
2024-01-24,987
2024-01-25,987
2024-01-26,987
2024-01-29,987
2024-01-30,987
2024-01-31,987
2024-02-01,987
2024-02-02,987
2024-02-05,987
2024-02-06,987
2024-02-07,987
2024-02-08,987
2024-02-19,987
2024-02-20,987
2024-02-21,987
2024-02-22,987
2024-02-23,987
2024-02-26,987
2024-02-27,987
2024-02-28,987
2024-02-29,987
2024-03-01,987
2024-03-04,987
2024-03-05,987
2024-03-06,986
2024-03-07,986
2024-03-08,986
2024-03-11,986
2024-03-12,986
2024-03-13,986
2024-03-14,986
2024-03-15,985
2024-03-18,985
2024-03-19,986
2024-03-20,985
2024-03-21,985
2024-03-22,985
2024-03-25,985
2024-03-26,986
2024-03-27,987
2024-03-28,987
2024-03-29,987
2024-04-01,987
2024-04-02,987
2024-04-03,987
2024-04-08,987
2024-04-09,987
2024-04-10,987
2024-04-11,987
2024-04-12,987
2024-04-15,987
2024-04-16,987
2024-04-17,986
2024-04-18,986
2024-04-19,986
2024-04-22,986
2024-04-23,986
2024-04-24,986
2024-04-25,986
2024-04-26,985
2024-04-29,986
2024-04-30,986
2024-05-06,987
2024-05-07,987
2024-05-08,987
2024-05-09,987
2024-05-10,987
2024-05-13,987
2024-05-14,987
2024-05-15,987
2024-05-16,987
2024-05-17,987
2024-05-20,986
2024-05-21,987
2024-05-22,987
2024-05-23,987
2024-05-24,987
2024-05-27,987
2024-05-28,987
2024-05-29,986
2024-05-30,985
2024-05-31,986
2024-06-03,986
2024-06-04,985
2024-06-05,986
2024-06-06,986
2024-06-07,986
2024-06-11,985
2024-06-12,986
2024-06-13,986
2024-06-14,987
2024-06-17,987
2024-06-18,987
2024-06-19,987
2024-06-20,987
2024-06-21,987
