code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sz.300155,安居宝,2011-01-07,,1,1,300155,sz.300155,安居宝,2011-01-07,,chinext
sz.300156,神雾退,2011-01-07,2020-08-25,1,0,300156,sz.300156,神雾退,2011-01-07,2020-08-25,chinext
sz.300157,新锦动力,2011-01-07,,1,1,300157,sz.300157,新锦动力,2011-01-07,,chinext
sz.300158,振东制药,2011-01-07,,1,1,300158,sz.300158,振东制药,2011-01-07,,chinext
sz.300159,*ST新研,2011-01-07,,1,1,300159,sz.300159,*ST新研,2011-01-07,,chinext
sz.300160,秀强股份,2011-01-13,,1,1,300160,sz.300160,秀强股份,2011-01-13,,chinext
sz.300161,华中数控,2011-01-13,,1,1,300161,sz.300161,华中数控,2011-01-13,,chinext
sz.300162,雷曼光电,2011-01-13,,1,1,300162,sz.300162,雷曼光电,2011-01-13,,chinext
sz.300163,先锋新材,2011-01-13,,1,1,300163,sz.300163,先锋新材,2011-01-13,,chinext
sz.300164,通源石油,2011-01-13,,1,1,300164,sz.300164,通源石油,2011-01-13,,chinext
sz.300165,天瑞仪器,2011-01-25,,1,1,300165,sz.300165,天瑞仪器,2011-01-25,,chinext
sz.300166,东方国信,2011-01-25,,1,1,300166,sz.300166,东方国信,2011-01-25,,chinext
sz.300167,ST迪威迅,2011-01-25,,1,1,300167,sz.300167,ST迪威迅,2011-01-25,,chinext
sz.300168,万达信息,2011-01-25,,1,1,300168,sz.300168,万达信息,2011-01-25,,chinext
sz.300169,天晟新材,2011-01-25,,1,1,300169,sz.300169,天晟新材,2011-01-25,,chinext
sz.300170,汉得信息,2011-02-01,,1,1,300170,sz.300170,汉得信息,2011-02-01,,chinext
sz.300171,东富龙,2011-02-01,,1,1,300171,sz.300171,东富龙,2011-02-01,,chinext
sz.300172,中电环保,2011-02-01,,1,1,300172,sz.300172,中电环保,2011-02-01,,chinext
sz.300173,ST福能,2011-02-01,,1,1,300173,sz.300173,ST福能,2011-02-01,,chinext
sz.300174,元力股份,2011-02-01,,1,1,300174,sz.300174,元力股份,2011-02-01,,chinext
sz.300175,朗源股份,2011-02-15,,1,1,300175,sz.300175,朗源股份,2011-02-15,,chinext
sz.300176,鸿特科技,2011-02-15,,1,1,300176,sz.300176,鸿特科技,2011-02-15,,chinext
