code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
000564,sz.000564,供销大集,sz_mainboard,F52零售业,证监会行业分类,1994-01-10,2026-06-15,,21887325897.594395,baostock_approx_circ_mv,low_confidence_approx,638,638,2019-06-15,2026-06-15,1687,1.0041666666666667,252,False,False,True,True
300102,sz.300102,乾照光电,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-08-12,2026-06-15,,21881637396.215645,baostock_approx_circ_mv,low_confidence_approx,639,639,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600765,sh.600765,中航重机,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,1996-11-06,2026-06-15,,21843760809.29332,baostock_approx_circ_mv,low_confidence_approx,640,640,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600390,sh.600390,五矿资本,sh_mainboard,J69其他金融业,证监会行业分类,2001-01-15,2026-06-15,,21814798101.924076,baostock_approx_circ_mv,low_confidence_approx,641,641,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002831,sz.002831,裕同科技,sz_mainboard,C22造纸和纸制品业,证监会行业分类,2016-12-16,2026-06-15,,21783569497.79485,baostock_approx_circ_mv,low_confidence_approx,642,642,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
603002,sh.603002,宏昌电子,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2012-05-18,2026-06-15,,21740290123.560913,baostock_approx_circ_mv,low_confidence_approx,643,643,2019-06-15,2026-06-15,1686,1.0035714285714286,252,False,False,True,True
002926,sz.002926,华西证券,sz_mainboard,J67资本市场服务,证监会行业分类,2018-02-05,2026-06-15,,21707838320.91016,baostock_approx_circ_mv,low_confidence_approx,644,644,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600535,sh.600535,天士力,sh_mainboard,C27医药制造业,证监会行业分类,2002-08-23,2026-06-15,,21706799796.64919,baostock_approx_circ_mv,low_confidence_approx,645,645,2019-06-15,2026-06-15,1695,1.0089285714285714,252,False,False,True,True
300260,sz.300260,新莱应材,chinext,C34通用设备制造业,证监会行业分类,2011-09-06,2026-06-15,,21690630519.320644,baostock_approx_circ_mv,low_confidence_approx,646,646,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600186,sh.600186,莲花控股,sh_mainboard,C14食品制造业,证监会行业分类,1998-08-25,2026-06-15,,21684333956.21668,baostock_approx_circ_mv,low_confidence_approx,647,647,2019-06-15,2026-06-15,1694,1.0083333333333333,252,False,False,True,True
600170,sh.600170,上海建工,sh_mainboard,E48土木工程建筑业,证监会行业分类,1998-06-23,2026-06-15,,21681926788.61788,baostock_approx_circ_mv,low_confidence_approx,648,648,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600582,sh.600582,天地科技,sh_mainboard,C35专用设备制造业,证监会行业分类,2002-05-15,2026-06-15,,21644594354.148846,baostock_approx_circ_mv,low_confidence_approx,649,649,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
000039,sz.000039,中集集团,sz_mainboard,C33金属制品业,证监会行业分类,1994-04-08,2026-06-15,,21633071020.049892,baostock_approx_circ_mv,low_confidence_approx,650,650,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,True,True
000750,sz.000750,国海证券,sz_mainboard,J67资本市场服务,证监会行业分类,1997-07-09,2026-06-15,,21619876157.034306,baostock_approx_circ_mv,low_confidence_approx,651,651,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,True,True
600663,sh.600663,陆家嘴,sh_mainboard,K70房地产业,证监会行业分类,1993-06-28,2026-06-15,,21585609247.70642,baostock_approx_circ_mv,low_confidence_approx,652,652,2019-06-15,2026-06-15,1687,1.0041666666666667,252,False,False,True,True
300474,sz.300474,景嘉微,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2016-03-31,2026-06-15,,21563489624.93707,baostock_approx_circ_mv,low_confidence_approx,653,653,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
603077,sh.603077,和邦生物,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2012-07-31,2026-06-15,,21549602355.079624,baostock_approx_circ_mv,low_confidence_approx,654,654,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601567,sh.601567,三星电气,sh_mainboard,C40仪器仪表制造业,证监会行业分类,2011-06-15,2026-06-15,,21485911169.15423,baostock_approx_circ_mv,low_confidence_approx,655,655,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601975,sh.601975,招商南油,sh_mainboard,G55水上运输业,证监会行业分类,2019-01-08,2026-06-15,,21435943707.797092,baostock_approx_circ_mv,low_confidence_approx,656,656,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
603588,sh.603588,高能环境,sh_mainboard,N77生态保护和环境治理业,证监会行业分类,2014-12-29,2026-06-15,,21416704044.26559,baostock_approx_circ_mv,low_confidence_approx,657,657,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,True,True
